,I,II,III
0,-0.12,-0.13,-0.01
1,-0.12,-0.13,-0.01
2,-0.12,-0.13,-0.01
3,-0.12,-0.13,-0.01
4,-0.12,-0.13,-0.01
5,-0.12,-0.13,-0.01
6,-0.12,-0.13,-0.01
7,-0.123,-0.13,-0.007
8,-0.126,-0.13,-0.004
9,-0.124,-0.129,-0.005
10,-0.12,-0.125,-0.005
11,-0.12,-0.125,-0.005
12,-0.12,-0.125,-0.005
13,-0.12,-0.125,-0.005
14,-0.121,-0.125,-0.004
15,-0.125,-0.125,0.0
16,-0.125,-0.125,0.0
17,-0.125,-0.126,0.0
18,-0.123,-0.123,0.0
19,-0.119,-0.12,0.0
20,-0.12,-0.12,0.0
21,-0.124,-0.12,0.004
22,-0.125,-0.12,0.005
23,-0.125,-0.12,0.005
24,-0.125,-0.12,0.005
25,-0.125,-0.12,0.005
26,-0.125,-0.12,0.005
27,-0.122,-0.117,0.005
28,-0.118,-0.114,0.004
29,-0.114,-0.115,-0.001
30,-0.11,-0.115,-0.005
31,-0.11,-0.115,-0.005
32,-0.107,-0.115,-0.008
33,-0.105,-0.115,-0.01
34,-0.104,-0.115,-0.011
35,-0.1,-0.115,-0.015
36,-0.096,-0.111,-0.015
37,-0.092,-0.11,-0.017
38,-0.088,-0.11,-0.023
39,-0.085,-0.11,-0.025
40,-0.085,-0.11,-0.025
41,-0.081,-0.11,-0.029
42,-0.08,-0.11,-0.03
43,-0.078,-0.11,-0.032
44,-0.074,-0.11,-0.036
45,-0.075,-0.11,-0.035
46,-0.079,-0.11,-0.031
47,-0.08,-0.11,-0.03
48,-0.08,-0.11,-0.03
49,-0.08,-0.11,-0.03
50,-0.08,-0.11,-0.03
51,-0.08,-0.11,-0.03
52,-0.08,-0.11,-0.03
53,-0.08,-0.11,-0.03
54,-0.08,-0.11,-0.03
55,-0.08,-0.11,-0.03
56,-0.08,-0.11,-0.03
57,-0.08,-0.11,-0.03
58,-0.08,-0.11,-0.03
59,-0.08,-0.11,-0.03
60,-0.08,-0.11,-0.03
61,-0.08,-0.11,-0.03
62,-0.08,-0.11,-0.03
63,-0.08,-0.11,-0.03
64,-0.08,-0.11,-0.03
65,-0.08,-0.11,-0.03
66,-0.08,-0.11,-0.03
67,-0.08,-0.11,-0.03
68,-0.08,-0.11,-0.03
69,-0.08,-0.11,-0.03
70,-0.08,-0.11,-0.03
71,-0.08,-0.11,-0.03
72,-0.08,-0.111,-0.031
73,-0.08,-0.108,-0.028
74,-0.08,-0.105,-0.025
75,-0.08,-0.105,-0.025
76,-0.08,-0.105,-0.025
77,-0.081,-0.106,-0.025
78,-0.078,-0.103,-0.025
79,-0.075,-0.1,-0.025
80,-0.075,-0.1,-0.025
81,-0.075,-0.1,-0.025
82,-0.078,-0.1,-0.022
83,-0.081,-0.1,-0.019
84,-0.079,-0.099,-0.02
85,-0.075,-0.095,-0.02
86,-0.075,-0.095,-0.02
87,-0.075,-0.095,-0.02
88,-0.075,-0.095,-0.02
89,-0.075,-0.095,-0.02
90,-0.075,-0.095,-0.02
91,-0.075,-0.091,-0.016
92,-0.075,-0.09,-0.015
93,-0.075,-0.09,-0.015
94,-0.075,-0.09,-0.015
95,-0.075,-0.09,-0.015
96,-0.075,-0.09,-0.015
97,-0.075,-0.09,-0.015
98,-0.075,-0.09,-0.015
99,-0.075,-0.09,-0.015
100,-0.075,-0.09,-0.015
101,-0.079,-0.09,-0.011
102,-0.08,-0.09,-0.01
103,-0.08,-0.09,-0.01
104,-0.079,-0.089,-0.01
105,-0.075,-0.085,-0.01
106,-0.075,-0.085,-0.01
107,-0.076,-0.085,-0.009
108,-0.073,-0.085,-0.012
109,-0.07,-0.085,-0.015
110,-0.07,-0.085,-0.015
111,-0.053,-0.085,-0.032
112,-0.051,-0.085,-0.034
113,-0.056,-0.085,-0.029
114,-0.055,-0.085,-0.03
115,-0.055,-0.085,-0.03
116,-0.055,-0.085,-0.03
117,-0.058,-0.084,-0.027
118,-0.062,-0.087,-0.024
119,-0.065,-0.09,-0.025
120,-0.065,-0.09,-0.025
121,-0.064,-0.09,-0.025
122,-0.068,-0.09,-0.022
123,-0.07,-0.09,-0.019
124,-0.071,-0.091,-0.02
125,-0.075,-0.095,-0.02
126,-0.075,-0.095,-0.02
127,-0.074,-0.095,-0.021
128,-0.077,-0.095,-0.018
129,-0.081,-0.095,-0.015
130,-0.08,-0.095,-0.015
131,-0.072,-0.087,-0.015
132,-0.063,-0.079,-0.016
133,-0.058,-0.071,-0.013
134,-0.053,-0.063,-0.01
135,-0.045,-0.055,-0.01
136,-0.037,-0.047,-0.01
137,-0.029,-0.039,-0.01
138,-0.02,-0.031,-0.01
139,-0.014,-0.024,-0.009
140,-0.015,-0.02,-0.005
141,-0.011,-0.016,-0.005
142,-0.007,-0.012,-0.005
143,-0.004,-0.008,-0.004
144,0.002,-0.004,-0.006
145,0.015,0.0,-0.015
146,0.031,0.008,-0.023
147,0.046,0.016,-0.031
148,0.065,0.025,-0.04
149,0.074,0.03,-0.045
150,0.075,0.035,-0.04
151,0.113,0.073,-0.04
152,0.119,0.078,-0.04
153,0.104,0.065,-0.04
154,0.098,0.058,-0.04
155,0.09,0.05,-0.04
156,0.082,0.042,-0.04
157,0.074,0.034,-0.04
158,0.067,0.028,-0.04
159,0.064,0.024,-0.04
160,0.06,0.02,-0.04
161,0.054,0.016,-0.038
162,0.064,0.012,-0.052
163,0.071,0.008,-0.063
164,0.07,0.004,-0.066
165,0.07,0.0,-0.07
166,0.059,-0.004,-0.063
167,0.043,-0.011,-0.053
168,0.028,-0.02,-0.048
169,0.017,-0.026,-0.043
170,0.005,-0.03,-0.035
171,-0.011,-0.038,-0.027
172,-0.026,-0.046,-0.021
173,-0.031,-0.053,-0.022
174,-0.029,-0.055,-0.025
175,-0.025,-0.05,-0.025
176,-0.023,-0.048,-0.026
177,-0.04,-0.062,-0.022
178,-0.04,-0.075,-0.035
179,-0.032,-0.083,-0.051
180,-0.05,-0.095,-0.045
181,-0.047,-0.091,-0.045
182,-0.044,-0.089,-0.045
183,-0.045,-0.09,-0.045
184,-0.046,-0.09,-0.044
185,-0.05,-0.09,-0.04
186,-0.05,-0.09,-0.04
187,-0.05,-0.091,-0.04
188,-0.048,-0.088,-0.04
189,-0.044,-0.085,-0.04
190,-0.045,-0.085,-0.04
191,-0.049,-0.085,-0.036
192,-0.05,-0.085,-0.035
193,-0.05,-0.085,-0.035
194,-0.05,-0.085,-0.035
195,-0.05,-0.085,-0.035
196,-0.05,-0.081,-0.031
197,-0.05,-0.08,-0.03
198,-0.05,-0.08,-0.03
199,-0.05,-0.08,-0.03
200,-0.05,-0.08,-0.03
201,-0.05,-0.08,-0.03
202,-0.048,-0.079,-0.031
203,-0.057,-0.083,-0.026
204,-0.046,-0.084,-0.038
205,0.0,-0.075,-0.075
206,-0.009,-0.07,-0.061
207,0.009,-0.036,-0.045
208,0.048,0.016,-0.032
209,0.059,0.042,-0.017
210,0.05,0.045,-0.005
211,0.085,0.103,0.018
212,0.15,0.196,0.046
213,0.218,0.276,0.059
214,0.29,0.351,0.061
215,0.385,0.46,0.075
216,0.487,0.6,0.113
217,0.569,0.77,0.201
218,0.642,0.932,0.29
